Database ID,Country,Districts,Region,Departments,Sous Prefecture,Commune,Latitude,Longitude,GeoID,ISO,ISO3
8886,Cote d`Ivoire,,,,,,,,,ci,CIV
9115,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,,,,,,,,,
9445,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,,,,,,,,
9447,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,,,,,,,
,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,,,,,,
9450,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Abobo,,,,,
9451,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Adjam̩,,,,,
9452,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Attecoube,,,,,
9453,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Cocody,,,,,
9457,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Port Bouet,,,,,
9458,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Treichville,,,,,
9454,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Koumassi,,,,,
9455,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Marcory,,,,,
9456,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Abidjan,Plateau,,,,,
9460,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Anyama,Anyama,,,,,
9462,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Songon,Songon,,,,,
9461,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Bingerville,Bingerville,,,,,
,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,Brofodoume,,,,,,
9459,Cote d`Ivoire,DISTRICT AUTONOME D'ABIDJAN,DISTRICT AUTONOME D'ABIDJAN,Yopougon,,,,,,,
9121,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,,,,,,,,,
9446,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,,,,,,,,
9448,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,ATTIEGOUAKRO,,,,,,,
,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,ATTIEGOUAKRO,ATTIEGOUAKRO,,,,,,
,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,ATTIEGOUAKRO,LOLOBO,,,,,,
9463,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,ATTIEGOUAKRO,,PM,,,,,
9449,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,YAMOUSSOKRO,,,,,,,
,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,YAMOUSSOKRO,Kossou,,,,,,
,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,YAMOUSSOKRO,Yamoussokro,,,,,,
9464,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,YAMOUSSOKRO,Yamoussokro,Yamoussokro,,,,,
9169,Cote d`Ivoire,DISTRICT DE DENGUELE,,,,,,,,,
9170,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,,,,,,,,
9172,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,Goulia,,,,,,
9174,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,Goulia,Goulia,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,Kanassio,,,,,,
9175,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,Kanassio,Kanassio,,,,,
9173,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,SOKORO,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Minignan,,,,,,
9176,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Minignan,Minignan,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Tienko,,,,,,
9177,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Tienko,Tienko,,,,,
9171,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,,,,,,,,
9178,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,BOUGOUSSO,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Bako,,,,,,
