Database ID,Country,Districts,Region,Departments,Sous Prefecture,Commune,Latitude,Longitude,GeoID,ISO,ISO3,Most Specific Location,GeoID,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
9463,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,ATTIEGOUAKRO,,PM,,,,,,PM,,,,,,,,,,,,,,,,
9449,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,YAMOUSSOKRO,,,,,,,,YAMOUSSOKRO,,,,,,,,,,,,,,,,
,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,YAMOUSSOKRO,Kossou,,,,,,,Kossou,2286234,7.0175,-5.48472,P,PPL,CI,CI,0,,,,0,,170,Africa/Abidjan,5/7/11
,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,YAMOUSSOKRO,Yamoussokro,,,,,,,Yamoussokro,,,,,,,,,,,,,,,,
9464,Cote d`Ivoire,DISTRICT AUTONOME DE YAMOUSSOKRO,DISTRICT AUTONOME DE YAMOUSSOKRO,YAMOUSSOKRO,Yamoussokro,Yamoussokro,,,,,,Yamoussokro,,,,,,,,,,,,,,,,
9169,Cote d`Ivoire,DISTRICT DE DENGUELE,,,,,,,,,,DISTRICT DE DENGUELE,,,,,,,,,,,,,,,,
9170,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,,,,,,,,,FOLON,,,,,,,,,,,,,,,,
9172,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,,,,,,,,KANIASSO,,,,,,,,,,,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,Goulia,,,,,,,Goulia,2288181,10.01908,-7.20108,P,PPL,CI,,77,,,,0,,428,Africa/Abidjan,2/28/12
9174,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,Goulia,Goulia,,,,,,Goulia,2288181,10.01908,-7.20108,P,PPL,CI,,77,,,,0,,428,Africa/Abidjan,2/28/12
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,Kanassio,,,,,,,Kanassio,,,,,,,,,,,,,,,,
9175,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,KANIASSO,Kanassio,Kanassio,,,,,,Kanassio,,,,,,,,,,,,,,,,
9173,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,,,,,,,,MINIGNAN,,,,,,,,,,,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,SOKORO,,,,,,,SOKORO,2281457,10.20374,-7.8317,P,PPL,CI,,77,,,,0,,384,Africa/Abidjan,2/28/12
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Minignan,,,,,,,Minignan,,,,,,,,,,,,,,,,
9176,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Minignan,Minignan,,,,,,Minignan,,,,,,,,,,,,,,,,
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Tienko,,,,,,,Tienko,2280680,10.21667,-7.6,H,STMI,CI,,0,,,,0,,360,Africa/Abidjan,1/4/94
9177,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Tienko,Tienko,,,,,,Tienko,2280680,10.21667,-7.6,H,STMI,CI,,0,,,,0,,360,Africa/Abidjan,1/4/94
9171,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,,,,,,,,,KABADOUGOU,,,,,,,,,,,,,,,,
9178,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,,,,,,,,ODIENNE,2283016,9.50511,-7.56433,P,PPLA,CI,,77,,,,49857,,429,Africa/Abidjan,2/28/12
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,BOUGOUSSO,,,,,,,BOUGOUSSO,2290882,9.25696,-7.82416,P,PPL,CI,,77,,,,0,,479,Africa/Abidjan,2/8/13
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Bako,,,,,,,Bako,2292352,9.85,-6.91667,H,STMI,CI,,0,,,,0,,481,Africa/Abidjan,1/4/94
9181,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Bako,Bako,,,,,,Bako,2292352,9.85,-6.91667,H,STMI,CI,,0,,,,0,,481,Africa/Abidjan,1/4/94
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Dioulatiedougou,,,,,,,Dioulatiedougou,2289911,8.97225,-7.2323,P,PPL,CI,,77,,,,0,,320,Africa/Abidjan,2/28/12
9182,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Dioulatiedougou,Dioulatiedougou,,,,,,Dioulatiedougou,2289911,8.97225,-7.2323,P,PPL,CI,,77,,,,0,,320,Africa/Abidjan,2/28/12
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Odienne,,,,,,,Odienne,2283016,9.50511,-7.56433,P,PPLA,CI,,77,,,,49857,,429,Africa/Abidjan,2/28/12
