Database ID,Country,Districts,Region,Departments,Sous Prefecture,Commune,Latitude,Longitude,GeoID,ISO,ISO3,Most Specific Location
,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Tienko,,,,,,,Tienko
9177,Cote d`Ivoire,DISTRICT DE DENGUELE,FOLON,MINIGNAN,Tienko,Tienko,,,,,,Tienko
9171,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,,,,,,,,,KABADOUGOU
9178,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,,,,,,,,ODIENNE
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,BOUGOUSSO,,,,,,,BOUGOUSSO
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Bako,,,,,,,Bako
9181,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Bako,Bako,,,,,,Bako
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Dioulatiedougou,,,,,,,Dioulatiedougou
9182,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Dioulatiedougou,Dioulatiedougou,,,,,,Dioulatiedougou
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Odienne,,,,,,,Odienne
9183,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Odienne,Odienne,,,,,,Odienne
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Tieme,,,,,,,Tieme
9184,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,ODIENNE,Tieme,Tieme,,,,,,Tieme
9179,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SAMATIGUILA,,,,,,,,SAMATIGUILA
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SAMATIGUILA,KIMIRILA-SUD,,,,,,,KIMIRILA-SUD
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SAMATIGUILA,Samatiguila,,,,,,,Samatiguila
9185,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SAMATIGUILA,Samatiguila,Samatiguila,,,,,,Samatiguila
9180,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SEGUELON,,,,,,,,SEGUELON
,Cote d`Ivoire,DISTRICT DE DENGUELE,KABADOUGOU,SEGUELON,Seguelon,,,,,,,Seguelon
